name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time
graph_20_0.125.gml;20;23;0.125;clever;0.75;15;False;-1;0.0
graph_20_0.25.gml;20;47;0.25;clever;0.125;2;True;(11, 68):(27, 93);0.0009982585906982422
graph_20_0.25.gml;20;47;0.25;clever;0.25;5;True;(11, 68):(41, 72):(99, 58):(3, 1):(27, 93);0.003004312515258789
graph_20_0.25.gml;20;47;0.25;clever;0.5;10;False;-1;0.0030019283294677734
graph_20_0.25.gml;20;47;0.25;clever;0.75;15;False;-1;0.0009970664978027344
graph_20_0.5.gml;20;95;0.5;clever;0.125;2;True;(11, 68):(13, 46);0.003989219665527344
graph_20_0.5.gml;20;95;0.5;clever;0.25;5;True;(11, 68):(1, 100):(13, 46):(99, 95):(64, 8);0.006033897399902344
graph_20_0.5.gml;20;95;0.5;clever;0.5;10;False;-1;0.001970529556274414
graph_20_0.5.gml;20;95;0.5;clever;0.75;15;False;-1;0.001001596450805664
graph_20_0.75.gml;20;142;0.75;clever;0.125;2;True;(11, 68):(99, 95);0.004008769989013672
graph_20_0.75.gml;20;142;0.75;clever;0.25;5;False;-1;0.0039975643157958984
graph_20_0.75.gml;20;142;0.75;clever;0.5;10;False;-1;0.0020017623901367188
graph_20_0.75.gml;20;142;0.75;clever;0.75;15;False;-1;0.0019974708557128906
graph_21_0.125.gml;21;26;0.125;clever;0.125;2;True;(11, 68):(30, 2);0.0
graph_21_0.125.gml;21;26;0.125;clever;0.25;5;True;(11, 68):(99, 58):(30, 2):(84, 31):(64, 8);0.0010001659393310547
graph_21_0.125.gml;21;26;0.125;clever;0.5;10;True;(11, 68):(72, 79):(41, 72):(99, 58):(3, 1):(18, 19):(27, 93):(84, 31):(64, 8):(30, 2);0.0010027885437011719
graph_21_0.125.gml;21;26;0.125;clever;0.75;15;False;-1;0.0010426044464111328
graph_21_0.25.gml;21;52;0.25;clever;0.125;2;True;(99, 95):(100, 6);0.0009989738464355469
graph_21_0.25.gml;21;52;0.25;clever;0.25;5;True;(11, 68):(51, 100):(41, 72):(99, 95):(100, 6);0.003996610641479492
graph_21_0.25.gml;21;52;0.25;clever;0.5;10;False;-1;0.0039653778076171875
graph_21_0.25.gml;21;52;0.25;clever;0.75;15;False;-1;0.0009996891021728516
graph_21_0.5.gml;21;105;0.5;clever;0.125;2;True;(11, 68):(100, 6);0.005552768707275391
graph_21_0.5.gml;21;105;0.5;clever;0.25;5;True;(11, 68):(27, 93):(1, 100):(99, 95):(1, 29);0.008002758026123047
graph_21_0.5.gml;21;105;0.5;clever;0.5;10;False;-1;0.0030248165130615234
graph_21_0.5.gml;21;105;0.5;clever;0.75;15;False;-1;0.002003192901611328
graph_21_0.75.gml;21;157;0.75;clever;0.125;2;True;(11, 68):(91, 76);0.005995988845825195
graph_21_0.75.gml;21;157;0.75;clever;0.25;5;False;-1;0.004966259002685547
graph_21_0.75.gml;21;157;0.75;clever;0.5;10;False;-1;0.003000020980834961
graph_21_0.75.gml;21;157;0.75;clever;0.75;15;False;-1;0.0020003318786621094
graph_22_0.125.gml;22;28;0.125;clever;0.125;2;True;(99, 95):(99, 58);0.0
graph_22_0.125.gml;22;28;0.125;clever;0.25;5;True;(99, 95):(33, 37):(99, 58):(30, 2):(100, 6);0.0009996891021728516
graph_22_0.125.gml;22;28;0.125;clever;0.5;11;True;(99, 95):(41, 72):(13, 46):(71, 100):(99, 58):(100, 6):(63, 50):(33, 37):(30, 2):(44, 53):(91, 76);0.0009996891021728516
graph_22_0.125.gml;22;28;0.125;clever;0.75;16;False;-1;0.0
graph_22_0.25.gml;22;57;0.25;clever;0.125;2;True;(11, 68):(41, 72);0.0019996166229248047
graph_22_0.25.gml;22;57;0.25;clever;0.25;5;True;(11, 68):(41, 72):(33, 37):(13, 46):(99, 95);0.004000663757324219
graph_22_0.25.gml;22;57;0.25;clever;0.5;11;False;-1;0.003999948501586914
graph_22_0.25.gml;22;57;0.25;clever;0.75;16;False;-1;0.0009992122650146484
graph_22_0.5.gml;22;115;0.5;clever;0.125;2;True;(11, 68):(100, 6);0.007001638412475586
graph_22_0.5.gml;22;115;0.5;clever;0.25;5;True;(11, 68):(47, 21):(33, 37):(99, 95):(100, 6);0.009998798370361328
graph_22_0.5.gml;22;115;0.5;clever;0.5;11;False;-1;0.003999948501586914
graph_22_0.5.gml;22;115;0.5;clever;0.75;16;False;-1;0.0020325183868408203
graph_22_0.75.gml;22;173;0.75;clever;0.125;2;True;(11, 68):(91, 76);0.006043672561645508
