name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time;operations_count;solutions_count
graph_135_0.5.gml;135;4522;0.5;greedy_v1;0.5;67;False;-1;0.008999347686767578;10785;9
graph_135_0.5.gml;135;4522;0.5;greedy_v1;0.75;101;False;-1;0.008999824523925781;10785;9
graph_135_0.25.gml;135;2261;0.25;greedy_v1;0.125;16;False;-1;0.0060002803802490234;9279;16
graph_135_0.25.gml;135;2261;0.25;greedy_v1;0.25;33;False;-1;0.004999637603759766;9279;16
graph_135_0.25.gml;135;2261;0.25;greedy_v1;0.5;67;False;-1;0.004999876022338867;9279;16
graph_135_0.25.gml;135;2261;0.25;greedy_v1;0.75;101;False;-1;0.005997180938720703;9279;16
graph_135_0.75.gml;135;6783;0.75;greedy_v1;0.125;16;False;-1;0.013000011444091797;13271;5
graph_135_0.75.gml;135;6783;0.75;greedy_v1;0.25;33;False;-1;0.01399993896484375;13271;5
graph_135_0.75.gml;135;6783;0.75;greedy_v1;0.5;67;False;-1;0.014002084732055664;13271;5
graph_135_0.75.gml;135;6783;0.75;greedy_v1;0.75;101;False;-1;0.01199960708618164;13271;5
graph_135_0.125.gml;135;1130;0.125;greedy_v1;0.125;16;True;(84, 91):(73, 68):(61, 100):(94, 32):(47, 81):(16, 6):(80, 16):(54, 47):(27, 58):(80, 61):(23, 86):(39, 99):(20, 54):(39, 22):(82, 1):(55, 83);0.002997159957885742;7539;17
graph_135_0.125.gml;135;1130;0.125;greedy_v1;0.25;33;False;-1;0.0029997825622558594;8014;29
graph_135_0.125.gml;135;1130;0.125;greedy_v1;0.5;67;False;-1;0.0030002593994140625;8014;29
graph_135_0.125.gml;135;1130;0.125;greedy_v1;0.75;101;False;-1;0.003000020980834961;8014;29
graph_136_0.5.gml;136;4590;0.5;greedy_v1;0.125;17;False;-1;0.017000913619995117;11125;8
graph_136_0.5.gml;136;4590;0.5;greedy_v1;0.25;34;False;-1;0.008990764617919922;11125;8
graph_136_0.5.gml;136;4590;0.5;greedy_v1;0.5;68;False;-1;0.008999824523925781;11125;8
graph_136_0.5.gml;136;4590;0.5;greedy_v1;0.75;102;False;-1;0.009415149688720703;11125;8
graph_136_0.25.gml;136;2295;0.25;greedy_v1;0.125;17;False;-1;0.004999637603759766;9428;16
graph_136_0.25.gml;136;2295;0.25;greedy_v1;0.25;34;False;-1;0.004999399185180664;9428;16
graph_136_0.25.gml;136;2295;0.25;greedy_v1;0.5;68;False;-1;0.007004499435424805;9428;16
graph_136_0.25.gml;136;2295;0.25;greedy_v1;0.75;102;False;-1;0.004999876022338867;9428;16
graph_136_0.75.gml;136;6885;0.75;greedy_v1;0.125;17;False;-1;0.014999628067016602;13694;5
graph_136_0.75.gml;136;6885;0.75;greedy_v1;0.25;34;False;-1;0.01299905776977539;13694;5
graph_136_0.75.gml;136;6885;0.75;greedy_v1;0.5;68;False;-1;0.013999700546264648;13694;5
graph_136_0.75.gml;136;6885;0.75;greedy_v1;0.75;102;False;-1;0.016000032424926758;13694;5
graph_136_0.125.gml;136;1147;0.125;greedy_v1;0.125;17;True;(10, 37):(66, 84):(77, 8):(73, 52):(25, 38):(81, 74):(25, 21):(27, 58):(54, 47):(51, 100):(1, 58):(39, 62):(33, 37):(1, 100):(84, 31):(25, 46):(47, 21);0.003999948501586914;7907;18
graph_136_0.125.gml;136;1147;0.125;greedy_v1;0.25;34;False;-1;0.002999544143676758;8220;28
graph_136_0.125.gml;136;1147;0.125;greedy_v1;0.5;68;False;-1;0.003000497817993164;8220;28
graph_136_0.125.gml;136;1147;0.125;greedy_v1;0.75;102;False;-1;0.0029993057250976562;8220;28
graph_137_0.5.gml;137;4658;0.5;greedy_v1;0.125;17;False;-1;0.011000633239746094;11215;9
graph_137_0.5.gml;137;4658;0.5;greedy_v1;0.25;34;False;-1;0.008998632431030273;11215;9
graph_137_0.5.gml;137;4658;0.5;greedy_v1;0.5;68;False;-1;0.008999824523925781;11215;9
graph_137_0.5.gml;137;4658;0.5;greedy_v1;0.75;102;False;-1;0.008998394012451172;11215;9
graph_137_0.25.gml;137;2329;0.25;greedy_v1;0.125;17;False;-1;0.005000114440917969;9557;17
graph_137_0.25.gml;137;2329;0.25;greedy_v1;0.25;34;False;-1;0.004999876022338867;9557;17
graph_137_0.25.gml;137;2329;0.25;greedy_v1;0.5;68;False;-1;0.005000114440917969;9557;17
graph_137_0.25.gml;137;2329;0.25;greedy_v1;0.75;102;False;-1;0.004999637603759766;9557;17
graph_137_0.75.gml;137;6987;0.75;greedy_v1;0.125;17;False;-1;0.013999462127685547;13922;4
graph_137_0.75.gml;137;6987;0.75;greedy_v1;0.25;34;False;-1;0.013999462127685547;13922;4
graph_137_0.75.gml;137;6987;0.75;greedy_v1;0.5;68;False;-1;0.024000883102416992;13922;4
graph_137_0.75.gml;137;6987;0.75;greedy_v1;0.75;102;False;-1;0.012999773025512695;13922;4
graph_137_0.125.gml;137;1164;0.125;greedy_v1;0.125;17;True;(72, 79):(80, 46):(99, 58):(53, 59):(54, 29):(32, 18):(42, 31):(1, 58):(58, 19):(35, 28):(39, 99):(99, 95):(75, 27):(68, 60):(33, 88):(47, 21):(30, 2);0.003000020980834961;7960;18
graph_137_0.125.gml;137;1164;0.125;greedy_v1;0.25;34;False;-1;0.0030002593994140625;8288;28
graph_137_0.125.gml;137;1164;0.125;greedy_v1;0.5;68;False;-1;0.002997159957885742;8288;28
graph_137_0.125.gml;137;1164;0.125;greedy_v1;0.75;102;False;-1;0.0030002593994140625;8288;28
graph_138_0.5.gml;138;4726;0.5;greedy_v1;0.125;17;False;-1;0.010001182556152344;11410;9
